empresa_norm,n_rows,id_pro,nombre,mostrar_listas,id_emp,lugar_por_defecto,id_esp,horas_estimadas,en_ejecucion,facturacion,ocupacion,horas_ejecutadas,fecha_corte,horas_ejecutadas_facturables,tipo_alcance,id_col_responsable,avance_real,avance_estimado
NUTRI,1,2317,Presupuesto 2021,0,3152,2,2,734.0,0.0,0.0,Esporádico,1106.0,2026-03-02 09:50:07,690.5,Por Alcance,0.0,0.0,0.0
OLVA,1,3777,Gestión de Datos y Analítica,0,6675,2,1,40.0,0.0,2000.0,Esporádico,24.0,2026-03-02 09:50:07,24.0,Por Alcance,0.0,0.0,0.0
OVERSEAS,1,940,OBI Coaching,0,1573,1,1,0.0,0.0,0.0,Stand by,223.933,2026-03-02 09:50:07,222.933,Por Alcance,0.0,0.0,0.0
PRESIDENCIA,1,859,Endeca,0,1492,2,1,0.0,0.0,0.0,Stand by,0.0,,0.0,Por Alcance,0.0,0.0,0.0
PRINCETON,1,42,Presupuesto Financiero,0,41,2,2,0.0,0.0,0.0,Stand by,1.0,2026-03-02 09:50:07,0.0,Por Alcance,0.0,0.0,0.0
PRIOX,1,586,Acompañamiento Adaptive,0,1016,2,2,0.0,0.0,0.0,Stand by,114.0,2026-03-02 09:50:07,114.0,Por Alcance,0.0,0.0,0.0
PROALCO,1,706,Modelo Replicación Pronóstico de Ventas,0,822,1,3,0.0,0.0,0.0,Stand by,268.0,2026-03-02 09:50:07,268.0,Por Alcance,0.0,0.0,0.0
PROAUTO,1,890,Presupuesto,0,1565,2,2,0.0,0.0,0.0,Stand by,310.5,2026-03-02 09:50:07,218.0,Por Alcance,0.0,0.0,0.0
PROPHAR,4,6441,Planful - Prophar,0,6928,8,8,300.0,0.0,18600.0,Stand by,858.0,2026-03-02 09:50:07,693.0,Por Alcance,0.0,0.0,0.0
PUCE,1,963,DATA WAREHOUSE,0,1236,1,1,0.0,0.0,0.0,Stand by,24.0,2026-03-02 09:50:07,24.0,Por Alcance,0.0,0.0,0.0
QUINTO ANDAR,2,6675,QA - Accounting,0,10224,4,84,456.0,0.0,35623.0,Esporádico,352.25,2026-03-02 09:50:07,348.5,Por Alcance,0.0,0.0,0.0
REDCAPITAL,1,936,Demo BI,0,1629,2,1,0.0,0.0,0.0,Stand by,12.0,2026-03-02 09:50:07,0.0,Por Alcance,0.0,0.0,0.0
REDPARTNER,3,1072,AP redPartner,0,9,6,8,0.0,0.0,0.0,Stand by,761.5,2026-03-02 09:50:07,706.5,Por Alcance,0.0,0.0,0.0
REYBANPAC,1,1657,Lacteos y Corp,1,1815,2,2,1724.0,0.0,109512.0,Permanente,1683.4,2026-03-02 09:50:07,1649.4,Por Alcance,0.0,0.0,0.0
SEGUROS DEL PICHINCHA,7,19319,Budget 2022,1,16611,14,114,1042.0,1.0,37795.0,Esporádico,1689.67,2026-03-02 09:50:07,1507.75,Por Alcance,0.0,0.0,0.0
SEGUROS EQUINOCCIAL,3,3630,Integracion AX,0,2262,5,7,80.0,0.0,5000.0,Stand by,1474.0,2026-03-02 09:50:07,1068.5,Por Alcance,0.0,0.0,0.0
SEPS,1,486,Indicadores,0,714,2,1,0.0,0.0,0.0,Stand by,1020.5,2026-03-02 09:50:07,1020.5,Por Alcance,0.0,0.0,0.0
SERTECPET,2,8694,Diagnostico,1,824,4,4,800.0,1.0,41000.0,Permanente,683.5,2026-03-02 09:50:07,676.5,Por Alcance,0.0,0.0,0.0
SIC,1,985,Coaching SICSAS,0,253,1,1,0.0,0.0,0.0,Stand by,86.5,2026-03-02 09:50:07,86.5,Por Alcance,0.0,0.0,0.0
